Experiment NO,P2P_Amp,Vel_max,minDeltaSec,minWSec,NumPulses,Start_Time,End_Time,PRTS_dt,TrapV_ta,TrapV_tv,TrapV_tx,SOS_minFreq,SOS_maxFreq,SOS_freqCount,Random Direction
2,10,5,0,0,10,0,120,0,0,0,0,0,0,0,1
2,10.5,5,0,0,10,0,120.87,0,0,0,0,0,0,0,1
